source,destination,distance_km,days_to_departure,day_of_week,demand_index,price_inr
Delhi,Mumbai,2276.34,8,1,0.97,10426
Delhi,Hyderabad,1381.38,0,1,1.03,10953
Chennai,Goa,2019.68,23,1,0.85,7979
Mumbai,Pune,2456.29,35,2,0.98,10435
Hyderabad,Mumbai,459.69,3,6,0.91,4181
Mumbai,Goa,1486.39,3,3,1.15,10780
Hyderabad,Kolkata,738.41,2,5,1.02,5903
Delhi,Pune,851.81,3,2,0.64,3859
Bangalore,Chennai,1194.76,33,5,1.27,6268
Bangalore,Hyderabad,2241.56,5,3,0.94,15061
Chennai,Goa,1107.99,43,0,1.01,6548
Hyderabad,Chennai,949.67,7,4,1.12,5134
Pune,Chennai,2677.11,30,1,0.99,12676
Kolkata,Goa,1836.84,68,3,0.55,6102
Bangalore,Hyderabad,1581.84,42,6,1.22,11749
Goa,Kolkata,377.88,14,3,0.5,2000
Mumbai,Goa,2218.02,34,4,1.0,8270
Hyderabad,Mumbai,1021.8,5,0,1.39,11399
Kolkata,Hyderabad,2333.49,21,0,1.12,14089
Chennai,Delhi,1246.96,5,6,1.4,13681
Hyderabad,Chennai,254.53,79,6,1.05,2000
Chennai,Hyderabad,2851.46,2,3,1.22,18605
Bangalore,Delhi,2047.3,88,1,0.96,9538
Goa,Delhi,2800.96,42,5,1.05,14058
Hyderabad,Chennai,2718.92,18,1,1.03,16020
Chennai,Hyderabad,816.61,2,5,1.07,6033
Mumbai,Pune,1125.2,21,2,0.93,3632
Bangalore,Goa,2819.44,25,3,1.01,12664
Goa,Delhi,464.11,32,2,0.8,2022
Mumbai,Goa,2029.68,31,0,0.85,10227
Delhi,Bangalore,736.45,23,1,0.86,3231
Chennai,Pune,2785.14,17,6,1.06,19571
Mumbai,Delhi,2793.83,56,1,0.81,10819
Goa,Mumbai,660.98,0,3,0.97,5638
Pune,Bangalore,1384.42,94,6,0.7,4087
Bangalore,Delhi,1030.78,103,4,0.99,3550
Hyderabad,Mumbai,340.4,19,6,0.93,2070
Delhi,Pune,720.31,27,5,1.13,2887
Chennai,Hyderabad,1864.65,28,3,0.86,5416
Hyderabad,Bangalore,771.93,37,1,0.99,3966
Kolkata,Chennai,1085.3,41,0,1.28,7896
Delhi,Mumbai,1705.38,21,1,1.38,9751
Chennai,Bangalore,997.96,17,4,0.92,3641
Mumbai,Goa,2487.89,10,5,1.33,19111
Kolkata,Mumbai,2691.2,40,1,0.96,12975
Hyderabad,Delhi,2124.99,57,4,0.57,5607
Mumbai,Delhi,1976.0,53,0,1.34,14932
Kolkata,Delhi,2275.45,24,3,0.91,8204
Bangalore,Hyderabad,300.88,13,4,1.06,2141
Kolkata,Bangalore,2717.15,47,6,1.18,18269
Chennai,Goa,487.82,45,6,0.77,2885
Bangalore,Delhi,2620.9,112,6,1.09,14584
Bangalore,Goa,2788.56,45,3,1.13,10871
Chennai,Bangalore,645.75,36,3,1.27,2000
Chennai,Delhi,2486.44,18,2,1.17,12309
Chennai,Mumbai,2048.09,15,2,1.34,11373
Kolkata,Bangalore,1996.15,15,6,0.54,6742
Delhi,Chennai,699.99,98,2,1.26,3357
Hyderabad,Goa,2402.0,17,4,1.32,18546
Chennai,Bangalore,324.28,17,4,1.22,2000
